year,segment,gov_cr,revenue_cr,ebitda_cr,orders_mn,aov_inr,cm_pct_gov
FY22,food_delivery,17400,4763,-766,490,398,1.7
FY23,food_delivery,26305,6147,-10,647,407,4.5
FY24,food_delivery,32224,7792,912,753,428,5.2
FY23,blinkit,6462,1063,-1016,119,543,NULL
FY24,blinkit,12469,2301,-384,203,614,NULL
FY22,hyperpure,NULL,192,NULL,NULL,NULL,NULL
FY23,hyperpure,NULL,1506,NULL,NULL,NULL,NULL
FY24,hyperpure,NULL,3172,NULL,NULL,NULL,NULL
FY22,food_delivery,17400,4763,-766,490,398,1.7
FY23,food_delivery,26305,6147,-10,647,407,4.5
FY24,food_delivery,32224,7792,912,753,428,5.2
FY23,blinkit,6462,1063,-1016,119,543,NULL
FY24,blinkit,12469,2301,-384,203,614,NULL
FY22,hyperpure,NULL,192,NULL,NULL,NULL,NULL
FY23,hyperpure,NULL,1506,NULL,NULL,NULL,NULL
FY24,hyperpure,NULL,3172,NULL,NULL,NULL,NULL
